Kvinnan; hälsar på; kvinnan; på gatan
Kvinnan; hälsar på; kvinnan; på busshållplatsen
Kvinnan; hälsar på; kvinnan; på stationen
Kvinnan; hälsar på; kvinnan; på flygplatsen
Kvinnan; hälsar på; mannen; på gatan
Kvinnan; hälsar på; mannen; på busshållplatsen
Kvinnan; hälsar på; mannen; på stationen
Kvinnan; hälsar på; mannen; på flygplatsen
Kvinnan; hälsar på; flickan; på gatan
Kvinnan; hälsar på; flickan; på busshållplatsen
Kvinnan; hälsar på; flickan; på stationen
Kvinnan; hälsar på; flickan; på flygplatsen
Kvinnan; hälsar på; pojken; på gatan
Kvinnan; hälsar på; pojken; på busshållplatsen
Kvinnan; hälsar på; pojken; på stationen
Kvinnan; hälsar på; pojken; på flygplatsen
Kvinnan; möter; kvinnan; på gatan
Kvinnan; möter; kvinnan; på busshållplatsen
Kvinnan; möter; kvinnan; på stationen
Kvinnan; möter; kvinnan; på flygplatsen
Kvinnan; möter; mannen; på gatan
Kvinnan; möter; mannen; på busshållplatsen
Kvinnan; möter; mannen; på stationen
Kvinnan; möter; mannen; på flygplatsen
Kvinnan; möter; flickan; på gatan
Kvinnan; möter; flickan; på busshållplatsen
Kvinnan; möter; flickan; på stationen
Kvinnan; möter; flickan; på flygplatsen
Kvinnan; möter; pojken; på gatan
Kvinnan; möter; pojken; på busshållplatsen
Kvinnan; möter; pojken; på stationen
Kvinnan; möter; pojken; på flygplatsen
Kvinnan; kramar; kvinnan; på gatan
Kvinnan; kramar; kvinnan; på busshållplatsen
Kvinnan; kramar; kvinnan; på stationen
Kvinnan; kramar; kvinnan; på flygplatsen
Kvinnan; kramar; mannen; på gatan
Kvinnan; kramar; mannen; på busshållplatsen
Kvinnan; kramar; mannen; på stationen
Kvinnan; kramar; mannen; på flygplatsen
Kvinnan; kramar; flickan; på gatan
Kvinnan; kramar; flickan; på busshållplatsen
Kvinnan; kramar; flickan; på stationen
Kvinnan; kramar; flickan; på flygplatsen
Kvinnan; kramar; pojken; på gatan
Kvinnan; kramar; pojken; på busshållplatsen
Kvinnan; kramar; pojken; på stationen
Kvinnan; kramar; pojken; på flygplatsen
Mannen; hälsar på; kvinnan; på gatan
Mannen; hälsar på; kvinnan; på busshållplatsen
Mannen; hälsar på; kvinnan; på stationen
Mannen; hälsar på; kvinnan; på flygplatsen
Mannen; hälsar på; mannen; på gatan
Mannen; hälsar på; mannen; på busshållplatsen
Mannen; hälsar på; mannen; på stationen
Mannen; hälsar på; mannen; på flygplatsen
Mannen; hälsar på; flickan; på gatan
Mannen; hälsar på; flickan; på busshållplatsen
Mannen; hälsar på; flickan; på stationen
Mannen; hälsar på; flickan; på flygplatsen
Mannen; hälsar på; pojken; på gatan
Mannen; hälsar på; pojken; på busshållplatsen
Mannen; hälsar på; pojken; på stationen
Mannen; hälsar på; pojken; på flygplatsen
Mannen; möter; kvinnan; på gatan
Mannen; möter; kvinnan; på busshållplatsen
Mannen; möter; kvinnan; på stationen
Mannen; möter; kvinnan; på flygplatsen
Mannen; möter; mannen; på gatan
Mannen; möter; mannen; på busshållplatsen
Mannen; möter; mannen; på stationen
Mannen; möter; mannen; på flygplatsen
Mannen; möter; flickan; på gatan
Mannen; möter; flickan; på busshållplatsen
Mannen; möter; flickan; på stationen
Mannen; möter; flickan; på flygplatsen
Mannen; möter; pojken; på gatan
Mannen; möter; pojken; på busshållplatsen
